Store Address,ID,Description,Location,Street No.,Street Name,city,state,zip,Location,,,,,,,,,,
"14823 Pomerado Rd, Poway, CA 92064",1,COMMERCIAL ROBBERY - WEAPON USED,14700  POMERADO ROAD,14700, POMERADO ROAD  ,Poway,CA,92064,14700  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
,1,SHOPLIFTING,14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
,1,VEHICLE BREAK-IN/THEFT,14600  CARMEL RIDGE ROAD,14600, CARMEL RIDGE ROAD ,Poway,CA,92064,14600  CARMEL RIDGE ROAD,,,CARMEL,RIDGE,ROAD,,,,,
,1,PETTY THEFT(SHOPLIFT),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
,1,PETTY THEFT(SHOPLIFT),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
,1,ELDER ABUSE/NEGLECT,14700  POMERADO ROAD,14700, POMERADO ROAD  ,Poway,CA,92064,14700  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
,1,PETTY THEFT(SHOPLIFT),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
,1,COMMERCIAL BURGLARY,14500  POMERADO ROAD,14500, POMERADO ROAD  ,Poway,CA,92064,14500  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
,1,SHOPLIFTING,14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
,1,PETTY THEFT(ALL OTHER LARCENY),12700  KAITZ STREET,12700, KAITZ STREET  ,Poway,CA,92064,12700  KAITZ STREET,,,KAITZ,STREET,,,,,,
,1,FRAUD,14800  SUMMERBREEZE WAY,14800, SUMMERBREEZE WAY  ,Poway,CA,92064,14800  SUMMERBREEZE WAY,,,SUMMERBREEZE,WAY,,,,,,
,1,DISORD CONDUCT:ALC,14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
,1,SHOPLIFTING,14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
,1,POSSESS CONTROLLED SUBSTANCE (M),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
,1,RESIDENTIAL BURGLARY,14700  SHADOWBROOK COURT,14700, SHADOWBROOK COURT  ,Poway,CA,92064,14700  SHADOWBROOK COURT,,,SHADOWBROOK,COURT,,,,,,
,1,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F),14800  SUMMERBREEZE WAY,14800, SUMMERBREEZE WAY  ,Poway,CA,92064,14800  SUMMERBREEZE WAY,,,SUMMERBREEZE,WAY,,,,,,
,1,SHOPLIFTING (M),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
,1,DUI ALCOHOL (M),POMERADO ROAD & TWIN PEAKS ROAD,,ROAD & TWIN PEAKS ROAD,Poway,CA,92064,POMERADO ROAD & TWIN PEAKS ROAD,,ROAD,&,TWIN,PEAKS,ROAD,,,,
,1,DUI ALCOHOL (M),14900  POMERADO ROAD,14900, POMERADO ROAD  ,Poway,CA,92064,14900  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
,1,POSS CONTROLLED SUBS PARAPHERNALIA (M),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
,1,PETTY THEFT(Shoplift) (M),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
